Match,Perfect World Shanghai Major 2024
Winning Team,FaZe
Losing Team,G2
Score,2 - 0

Team,Player Name,K-D,+/-,ADR,KAST,Rating
G2,Nemanja 'huNter-' Kovač,42-37,+5,92.1,67.3%,1.14
G2,Janusz 'Snax' Pogorzelski,34-34,0,78.6,77.6%,1.06
G2,Ilya 'm0NESY' Osipov,27-33,-6,70.9,65.3%,0.89
G2,Nikola 'NiKo' Kovač,31-38,-7,55.6,67.3%,0.87
G2,Mario 'malbsMd' Samayoa,24-39,-15,67.1,69.4%,0.83
FaZe,Robin 'ropz' Kool,50-35,+15,104.6,77.6%,1.45
FaZe,Helvijs 'broky' Saukants,42-28,+14,77.3,81.6%,1.23
FaZe,Håvard 'rain' Nygaard,36-31,+5,87.2,83.7%,1.22
FaZe,David 'frozen' Čerňanský,31-32,-1,72.7,79.6%,1.12
FaZe,Finn 'karrigan' Andersen,20-35,-15,53.1,71.4%,0.79
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
